0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0,2.0,0.0,0.0,0.0,-4.0,0.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,3.0,3.0,1.0,1.0,1.0,5.0,-2.0,1.0,2.0,1.0,1.0,-1.0,9.0,4.0,3.0,3.0,0.0,1.0,-2.0,2.0,2.0,-1.0,2.0,1.0,0.0,0.0,5.0
31.0,2.0,1.0,31.0,32.0,39.0,32.0,51.0,6.0,1.0,21.0,47.0,35.0,53.0,36.0,0.0,0.0,36.0,48.0,46.0,49.0,58.0,1.0,1.0,50.0,45.0,51.0,46.0,7.0,7.0
-1.0,2.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,2.0,1.0,0.0,-7.0,0.0,2.0,-1.0,-1.0,0.0,-2.0,0.0,2.0,-2.0,-1.0,0.0,1.0,2.0,1.0,0.0,6.0,3.0,2.0
2.0,2.0,5.0,-1.0,3.0,3.0,0.0,0.0,5.0,2.0,-2.0,6.0,0.0,1.0,5.0,-3.0,0.0,4.0,-1.0,-1.0,1.0,1.0,6.0,1.0,4.0,9.0,-2.0,1.0,-4.0,1.0
0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,2.0,-1.0,0.0,3.0,3.0,1.0,2.0,-1.0,2.0,-1.0,5.0,-2.0,5.0,1.0,5.0,2.0,-1.0,-14.0,-11.0,-2.0
2.0,2.0,2.0,1.0,-1.0,0.0,0.0,-3.0,4.0,7.0,0.0,1.0,0.0,-1.0,-2.0,-1.0,2.0,0.0,-2.0,0.0,0.0,0.0,-5.0,4.0,-3.0,-1.0,-4.0,-6.0,-1.0,-6.0
-5.0,-3.0,1.0,1.0,-3.0,-3.0,0.0,5.0,2.0,2.0,0.0,-4.0,-2.0,-6.0,0.0,5.0,3.0,-2.0,-5.0,0.0,2.0,0.0,6.0,-5.0,-6.0,-1.0,2.0,-7.0,1.0,11.0
-2.0,6.0,2.0,-2.0,3.0,0.0,0.0,-5.0,11.0,4.0,1.0,-1.0,0.0,1.0,0.0,0.0,13.0,-2.0,-1.0,0.0,-2.0,0.0,8.0,-3.0,-1.0,-5.0,-2.0,-5.0,2.0,6.0
1.0,0.0,-3.0,0.0,0.0,-14.0,-1.0,0.0,6.0,10.0,1.0,-17.0,0.0,0.0,-1.0,-7.0,0.0,-1.0,0.0,-2.0,1.0,0.0,-5.0,0.0,0.0,0.0,-35.0,-3.0,-2.0,-5.0
-6.0,1.0,3.0,-9.0,-1.0,-3.0,-6.0,-17.0,13.0,9.0,-11.0,0.0,-6.0,-10.0,-15.0,-1.0,2.0,-13.0,-25.0,6.0,-25.0,-17.0,2.0,7.0,-10.0,-34.0,-5.0,-3.0,-2.0,-2.0
-8.0,-2.0,-10.0,-10.0,-9.0,-9.0,1.0,-3.0,3.0,24.0,-1.0,-5.0,-10.0,-2.0,-8.0,-6.0,-4.0,-10.0,-7.0,-3.0,-16.0,-9.0,-4.0,2.0,-1.0,-11.0,-9.0,-2.0,-5.0,-1.0
-4.0,-3.0,-4.0,-5.0,-4.0,-5.0,0.0,3.0,-9.0,2.0,-6.0,-2.0,2.0,-1.0,-6.0,-1.0,-10.0,-9.0,-2.0,-3.0,-1.0,-10.0,0.0,-5.0,0.0,-5.0,-1.0,4.0,0.0,0.0
-1.0,-1.0,1.0,-1.0,-2.0,3.0,2.0,1.0,5.0,-9.0,-6.0,-1.0,2.0,-1.0,3.0,2.0,-3.0,-9.0,-2.0,0.0,-1.0,-2.0,4.0,-4.0,4.0,-3.0,0.0,-2.0,1.0,-2.0
0.0,0.0,-9.0,-6.0,4.0,1.0,0.0,6.0,-6.0,-1.0,-7.0,-2.0,0.0,0.0,-1.0,0.0,1.0,-2.0,0.0,1.0,-2.0,2.0,0.0,-6.0,1.0,7.0,3.0,2.0,1.0,0.0
0.0,-2.0,-1.0,-3.0,-4.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-6.0,0.0,3.0,0.0,0.0,0.0,-1.0,2.0
0.0,0.0,0.0,-8.0,-2.0,2.0,-3.0,-1.0,-4.0,0.0,-4.0,0.0,-2.0,0.0,-1.0,-2.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,-1.0,-1.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,-3.0,0.0,-2.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,2.0,-2.0,-2.0,0.0,-2.0
0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-3.0,0.0,-2.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,-2.0,-2.0,2.0,0.0
